site_name,Age_ka_BP,d18O_measurement,XGB_anomaly_95
Yangkou cave,72.00859955,-6.627,1
Yangkou cave,72.06608892999999,-6.384,1
Yangkou cave,72.12386500000001,-6.918,1
Yangkou cave,72.18134029,-6.867,1
Yangkou cave,72.23794895,-6.814,1
Yangkou cave,72.29504379,-6.502,1
Yangkou cave,72.35192044,-6.306,1
Yangkou cave,72.40944318,-6.531,1
Yangkou cave,72.46721963,-6.519,1
Yangkou cave,72.52502319000001,-6.626,1
Yangkou cave,72.58305349999999,-6.712,1
Yangkou cave,72.64094646000001,-6.911,1
Yangkou cave,72.69778455,-6.57,1
Yangkou cave,72.75516239,-6.783,1
Yangkou cave,72.81371985,-6.827,1
Yangkou cave,72.87110507,-6.734,1
Yangkou cave,72.92831546,-7.181,1
Yangkou cave,72.98551490999999,-6.742,0
Yangkou cave,73.04213763,-8.329,0
Yangkou cave,73.07731286,-7.829,0
Yangkou cave,73.11115396,-8.001,0
Yangkou cave,73.1456474,-8.08,0
Yangkou cave,73.17899359,-8.436,0
Yangkou cave,73.2115977,-8.205,0
Yangkou cave,73.24441663,-8.318,0
Yangkou cave,73.27759709,-8.13,0
Yangkou cave,73.30745927000001,-8.254,0
Yangkou cave,73.37568003,-8.418,0
Yangkou cave,73.44159865,-8.24,0
Yangkou cave,73.50803852,-8.257,0
Yangkou cave,73.57375811,-8.447,0
Yangkou cave,73.64066309,-8.367,0
Yangkou cave,73.70533855,-8.262,0
Yangkou cave,73.77066284,-8.456,0
Yangkou cave,73.83699945000001,-8.597,0
Yangkou cave,73.90357141,-8.358,0
Yangkou cave,73.97040674,-8.3,0
Dim cave,72.20709731,-3.901,0
Dim cave,72.31279509,-4.194,0
Dim cave,72.41640768,-4.363,0
Dim cave,72.5203827,-4.35,0
Dim cave,72.62163407,-4.116,0
Dim cave,72.72763035000001,-4.207,0
Dim cave,72.83456662,-4.032,0
Dim cave,72.93696414,-4.069,0
Dim cave,73.04198321999999,-4.114,1
Dim cave,73.14671021000001,-4.701,0
Dim cave,73.24983187,-4.889,0
Dim cave,73.35737153999999,-4.809,0
Dim cave,73.46315129999999,-5.098,0
Dim cave,73.79324826,-5.156,0
Botuverá cave,72.10694179,-3.93,0
Botuverá cave,72.36675229999999,-4.14,1
Botuverá cave,72.63731014,-4.16,1
Botuverá cave,72.9006635,-4.14,1
Botuverá cave,73.14657707,-4.61,1
Botuverá cave,73.4066239,-3.17,0
Botuverá cave,73.66891301,-3.08,0
Botuverá cave,73.92028299,-3.12,0
Villars cave,73.82146866,-4.12637902937,0
Villars cave,73.44688744999999,-4.30010664572,0
Villars cave,73.07401023,-4.28447303157,0
Villars cave,72.69945603000001,-4.36483194087,0
Villars cave,72.31995895,-4.29558935561,0
